fecha_reporte,nombre,provincia,fecha_inicio,estado,latitud,longitud,departamento,observaciones
22/08/2025,El Caldén,San Luis,22/08/2025,Extinguido (22/08 /2025),31° 53' 53.72'' S,65° 49' 29.81'' O,Ayacucho,"Latitud: 31° 53' 53.72'' S, Longitud: 65° 49' 29.81'' O. - Depto.: Ayacucho. Arbustal/Matorral: 50%. Pastizal: 50%. [ Institución: otros. Institución: BB.VV. Quines. Tipo: rrhh. Subtipo: bomberos. Cantidad: 7. ]"
22/08/2025,Ruta 27 y Ruta 11,San Luis,22/08/2025,Guardia de cenizas,33° 14' 14.02'' S,66° 11' 7.54'' O,Juan Martín de Pueyrredón,"Latitud: 33° 14' 14.02'' S, Longitud: 66° 11' 7.54'' O. - Depto.: Juan Martín de Pueyrredón. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Institución: BB.VV. Potrero de los Funes, Ea. Grande, El Volcán, BB. PL San Luís. Tipo: rrhh. Subtipo: bomberos. Cantidad: 60. ]"
23/08/2025,Ruta 27 y Ruta 11,San Luis,22/08/2025,Guardia de cenizas,33° 14' 14.02'' S,66° 11' 7.54'' O,Juan Martín de Pueyrredón,"Latitud: 33° 14' 14.02'' S, Longitud: 66° 11' 7.54'' O. - Depto.: Juan Martín de Pueyrredón. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Institución: BB.VV. Potrero de los Funes, Ea. Grande, El Volcán, BB. PL San Luís. Tipo: rrhh. Subtipo: bomberos. Cantidad: 60. ]"
24/08/2025,Ruta 27 y Ruta 11,San Luis,22/08/2025,Guardia de cenizas,33° 14' 14.02'' S,66° 11' 7.54'' O,Juan Martín de Pueyrredón,"Latitud: 33° 14' 14.02'' S, Longitud: 66° 11' 7.54'' O. - Depto.: Juan Martín de Pueyrredón. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Institución: BB.VV. Potrero de los Funes, Ea. Grande, El Volcán, BB. PL San Luís. Tipo: rrhh. Subtipo: bomberos. Cantidad: 60. ]"
25/08/2025,Ruta 27 y Ruta 11,San Luis,22/08/2025,Extinguido (25/08 /2025),33° 14' 14.02'' S,66° 11' 7.54'' O,Juan Martín de Pueyrredón,"Latitud: 33° 14' 14.02'' S, Longitud: 66° 11' 7.54'' O. - Depto.: Juan Martín de Pueyrredón. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Institución: BB.VV. Potrero de los Funes, Ea. Grande, El Volcán, BB. PL San Luís. Tipo: rrhh. Subtipo: bomberos. Cantidad: 60. ]"
22/09/2025,Calle La Brea,San Luis,20/09/2025,Extinguido (22/09 /2025),32° 13' 23.78'' S,65° 49' 6.03'' O,Ayacucho,"Latitud: 32° 13' 23.78'' S, Longitud: 65° 49' 6.03'' O. - Depto.: Ayacucho. Superficie: 4,00. Arbustal/Matorral: 33%. Pastizal: 33%. Otros: 34%. [ Institución: otros. Institución: BB.VV. Quines. Tipo: rrhh. Subtipo: bomberos. Cantidad: 8. ]"
25/09/2025,Justo Daract,San Luis,25/09/2025,Contenido,33° 47' 9.93'' S,65° 9' 35.86'' O,General Pedernera,"Latitud: 33° 47' 9.93'' S, Longitud: 65° 9' 35.86'' O. - Depto.: General Pedernera. Pastizal: 50%. Otros: 50%. [ Institución: otros. Institución: BB.VV. Justo Daract. Tipo: rrhh. Subtipo: bomberos. ]"
25/09/2025,San Francisco del Monte de Oro,San Luis,25/09/2025,Activo,32° 41' 1.68'' S,66° 8' 1.32'' O,Ayacucho,"Latitud: 32° 41' 1.68'' S, Longitud: 66° 8' 1.32'' O. - Depto.: Ayacucho. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Institución: BB.VV. Lujan. Tipo: rrhh. Subtipo: bomberos. ]"
26/09/2025,Justo Daract,San Luis,25/09/2025,Extinguido (26/09 /2025),33° 47' 9.93'' S,65° 9' 35.86'' O,General Pedernera,"Latitud: 33° 47' 9.93'' S, Longitud: 65° 9' 35.86'' O. - Depto.: General Pedernera."
26/09/2025,San Francisco del Monte de Oro,San Luis,25/09/2025,Extinguido (26/09 /2025),32° 41' 1.68'' S,66° 8' 1.32'' O,Ayacucho,"Latitud: 32° 41' 1.68'' S, Longitud: 66° 8' 1.32'' O. - Depto.: Ayacucho."
