fecha_reporte,nombre,provincia,fecha_inicio,estado,latitud,longitud,departamento,observaciones,,
9/09/2024,Paso Grande,San Luis,3/09/2024,Guardia de cenizas,32° 51' 12.63'' S,65° 43' 47.14'' O,Libertador General San Martín,"Latitud: 32° 51' 12.63'' S, Longitud: 65° 43' 47.14'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%.",,
10/09/2024,Paso Grande,San Luis,3/09/2024,Guardia de cenizas,32° 51' 12.63'' S,65° 43' 47.14'' O,Libertador General San Martín,"Latitud: 32° 51' 12.63'' S, Longitud: 65° 43' 47.14'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%.",,
11/09/2024,Paso Grande,San Luis,3/09/2024,Guardia de cenizas,32° 51' 12.63'' S,65° 43' 47.14'' O,Libertador General San Martín,"Latitud: 32° 51' 12.63'' S, Longitud: 65° 43' 47.14'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%.",,
12/09/2024,Paso Grande,San Luis,3/09/2024,Extinguido (12/09 /2024),32° 51' 12.63'' S,65° 43' 47.14'' O,Libertador General San Martín,"Latitud: 32° 51' 12.63'' S, Longitud: 65° 43' 47.14'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%.",,
18/09/2024,Las Lagunas,San Luis,18/09/2024,Activo,32° 38' 12.12'' S,65° 32' 51.72'' O,Libertador General San Martín,"Latitud: 32° 38' 12.12'' S, Longitud: 65° 32' 51.72'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. ]",,
18/09/2024,Potrerillos,San Luis,18/09/2024,Activo,32° 38' 31.78'' S,65° 37' 23.74'' O,Libertador General San Martín,"Latitud: 32° 38' 31.78'' S, Longitud: 65° 37' 23.74'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%.",,
19/09/2024,Balcarce,San Luis,19/09/2024,Activo,32° 33' 39.50'' S,65° 2' 14.51'' O,Chacabuco,"Latitud: 32° 33' 39.50'' S, Longitud: 65° 2' 14.51'' O. - Depto.: Chacabuco. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Institución: BNC SNMF + 1 CRC SNMF. Tipo: rrhh. Cantidad: 20. ] [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 3. ]",,
19/09/2024,Las Lagunas,San Luis,18/09/2024,Activo,32° 38' 12.12'' S,65° 32' 51.72'' O,Libertador General San Martín,"Latitud: 32° 38' 12.12'' S, Longitud: 65° 32' 51.72'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. ]",,
19/09/2024,Potrerillos,San Luis,18/09/2024,Activo,32° 38' 31.78'' S,65° 37' 23.74'' O,Libertador General San Martín,"Latitud: 32° 38' 31.78'' S, Longitud: 65° 37' 23.74'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%.",,
20/09/2024,Balcarce,San Luis,19/09/2024,Contenido,32° 33' 39.50'' S,65° 2' 14.51'' O,Chacabuco,"Latitud: 32° 33' 39.50'' S, Longitud: 65° 2' 14.51'' O. - Depto.: Chacabuco. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 3. ]",,
